Year,murder_cust,murder_length,intent_cust,intent_length,GBH_cust,GBH_length,common_cust,common_length,manslaughter_cust,manslaughter_length,robbery_cust,robbery_length,supplyA_cust,supplyA_length,supplyB_cust,supplyB_length,indictable_cust,indictable_length,either_way_cust,either_way_length,summary_nonmotoring_cust,summary_nonmotoring_length,summary_motoring_cust,summary_motoring_length,sexual_assault_cust,sexual_assault_length,rape_cust,rape_length,drugs_sev,drugs_ser,damage_sev,damage_ser,sex_sev,sex_ser
2004,1,,0.909,48.6,0.526,17.7,0.113,3.1,0.879,65,0.674,38.4,0.788,40.7,0.318,17.6,0.709,40.3,0.227,12.3,0.021,2.8,0.021,3.5,0.459,23.9,0.966,74.9,7.6,189,1.672625419,67.7898591,27.21287158,1289.770451
2005,1,,0.906,48.6,0.516,18.1,0.112,3.1,0.897,55.8,0.617,35,0.719,38.4,0.332,20.2,0.685,38.6,0.225,12.2,0.024,2.8,0.019,3.4,0.415,20.1,0.977,79.2,7.17,194,1.674664825,65.74234909,24.0978996,1169.221107
2006,1,,0.927,46.5,0.49,18.5,0.113,3.1,0.882,66.4,0.588,32.3,0.719,38.1,0.328,20.2,0.67,35.7,0.216,11.8,0.025,2.8,0.016,3.4,0.387,16.9,0.967,78.1,6.44,187,1.457835382,61.78906649,24.08358104,1158.227755
2007,1,,0.893,43.7,0.481,18.8,0.117,3.1,0.925,61.6,0.538,31.3,0.701,37.3,0.326,19.2,0.671,31.8,0.206,11.8,0.027,2.7,0.013,3.3,0.34,15.5,0.976,75.7,5.87,183,1.407844531,63.00232839,24.76557282,1163.210491
2008,1,,0.93,49.4,0.504,18.1,0.128,3,0.911,59.2,0.6,32.5,0.712,38.8,0.374,19.2,0.713,33.5,0.218,12.4,0.029,2.7,0.012,3.2,0.364,14.6,0.973,77.9,5.86,177,1.765821946,79.9611803,26.9952775,1180.296803
2009,1,,0.928,52.1,0.55,18.2,0.128,3,0.922,64.9,0.595,33.6,0.738,37.9,0.316,19.3,0.708,36.4,0.215,12.5,0.029,2.6,0.009,3.1,0.314,16.1,0.974,78,5.35,177,2.597785461,97.0235803,30.05472852,1230.793658
2010,1,,0.934,52.7,0.528,18.3,0.128,3,0.945,67.8,0.591,33.8,0.74,38.5,0.318,19,0.707,37.2,0.213,12.5,0.03,2.5,0.009,3.2,0.321,14.6,0.976,79.4,5.25,190,2.594677293,94.65845932,29.41158733,1169.720494
2011,0.994,,0.801,44.7,0.499,17.7,0.135,2.9,0.951,76.8,0.594,35.9,0.732,39.7,0.282,17.6,0.692,39.6,0.216,12,0.032,2.5,0.008,3.1,0.324,13.9,0.977,80.7,4.7,194,2.916527371,106.8715748,30.89796839,1181.060673
2012,1,,0.791,47.3,0.493,19.7,0.138,3,0.909,83.1,0.589,34.7,0.779,39.8,0.283,17.4,0.703,42.5,0.232,12.1,0.031,2.6,0.008,3.2,0.308,13.8,0.973,84.5,4.91,206,3.660310811,115.6564189,32.9122876,1192.720886
2013,1,,0.788,53,0.5,20.3,0.135,3.1,0.919,91.9,0.628,37.9,0.767,40.3,0.26,17.1,0.723,46,0.237,12,0.029,2.6,0.007,3.1,0.319,16.1,0.98,87.7,4.55,202,3.917423274,127.0078858,34.4685031,1186.955196
2014,1,,0.767,58.1,0.481,20.2,0.134,3,0.902,92,0.641,40.3,0.762,42.9,0.242,17.4,0.717,49.5,0.242,12.4,0.029,2.6,0.007,3.1,0.34,14.9,0.978,98,5.21,219,5.252933066,191.2434601,36.15120346,1192.696161
2015,1,,0.86,72.3,0.511,20.7,0.13,2.9,0.886,92.1,0.682,42.1,0.753,45.2,0.231,17.2,0.74,54.3,0.249,13.3,0.028,2.5,0.006,3,0.353,17.8,0.978,103.4,5.93,243,6.384153755,243.6741621,37.90292446,1177.566117
2016,1,,0.869,75,0.496,21.6,0.132,2.9,0.913,100.7,0.691,43.5,0.769,44.4,0.252,17.6,0.746,56.1,0.268,13.4,0.03,2.5,0.006,2.9,0.346,16.5,0.94,104.7,6.73,250,6.614094477,249.1742254,36.97044594,1161.02083
2017,0.996,,0.892,79.6,0.508,21.8,0.133,2.9,0.918,102.1,0.699,47.2,0.764,44.1,0.259,18.3,0.759,59.3,0.286,13.7,0.029,2.5,0.006,3,0.351,17,0.954,105.6,7.65,245,5.903954333,196.0461905,37.78459381,1185.666758
2018,0.993,,0.929,85.9,0.509,23.1,0.134,2.8,0.93,105.9,0.697,48.7,0.758,44.7,0.281,17.8,0.771,63.7,0.301,14.1,0.027,2.5,0.006,3,0.341,16.7,0.983,108.6,8.11,241,6.139280618,192.3610224,44.05089469,1234.097952
2019,0.997,,0.932,86.4,0.512,23.5,0.137,2.8,0.904,107.5,0.685,51,0.776,46.5,0.289,17.4,0.769,63.3,0.3,14.9,0.023,2.5,0.005,2.9,0.376,16.6,0.973,111.8,8.48,234,6.068497516,187.3888199,42.19691918,1154.591861
